TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,30.0,100.0,85.0,100.0
-120,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,45.0,100.0,95.0,100.0
-100,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,65.0,70.0,55.0,100.0
-90,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,85.0,95.0,90.0,100.0
-80,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,65.0,95.0,75.0,100.0
-70,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,60.0,75.0,55.0,80.0
-60,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,85.0,80.0,75.0,85.0
-50,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,75.0,100.0,100.0,100.0
-40,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,75.0,80.0,75.0,90.0
-30,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,55.0,80.0,70.0,85.0
-20,100.0,,,0.0,0.0,5.0,0.0,0.0,0.0,30.0,20.0,35.0,90.0,90.0,95.0
-10,100.0,,,0.0,0.0,0.0,0.0,0.0,5.0,40.0,25.0,45.0,100.0,100.0,100.0
0,100.0,,,0.0,0.0,30.0,0.0,0.0,5.0,95.0,90.0,100.0,100.0,100.0,100.0
10,100.0,,,0.0,0.0,5.0,0.0,0.0,0.0,45.0,25.0,45.0,100.0,95.0,100.0
20,100.0,,,0.0,0.0,0.0,0.0,0.0,5.0,25.0,20.0,50.0,90.0,85.0,95.0
30,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,65.0,72.5,65.0,80.0
40,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,55.0,90.0,100.0,100.0,100.0
50,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,55.0,30.0,90.0,80.0,80.0,95.0
60,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,60.0,85.0,55.0,90.0
70,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,70.0,85.0,75.0,90.0
80,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,55.0,75.0,100.0,90.0,100.0
90,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,75.0,70.0,60.0,85.0
100,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,65.0,75.0,65.0,90.0
120,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,50.0,100.0,100.0,100.0
140,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,20.0,95.0,95.0,100.0
