TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,2.5,10.0,95.0,100.0
-120,100.0,12.5,5.0,100.0,100.0
-100,100.0,5.0,0.0,100.0,85.0
-90,100.0,2.5,15.0,100.0,100.0
-80,100.0,5.0,5.0,100.0,100.0
-70,100.0,7.5,0.0,90.0,85.0
-60,100.0,0.0,5.0,90.0,80.0
-50,100.0,0.0,5.0,100.0,100.0
-40,100.0,7.5,10.0,95.0,95.0
-30,100.0,2.5,15.0,80.0,90.0
-20,100.0,5.0,10.0,90.0,100.0
-10,100.0,15.0,15.0,95.0,100.0
0,100.0,25.0,50.0,100.0,100.0
10,100.0,12.5,20.0,90.0,100.0
20,100.0,12.5,30.0,95.0,100.0
30,100.0,5.0,10.0,90.0,90.0
40,100.0,2.5,5.0,100.0,100.0
50,100.0,7.5,10.0,100.0,100.0
60,100.0,12.5,5.0,95.0,85.0
70,100.0,7.5,5.0,100.0,90.0
80,100.0,5.0,5.0,100.0,100.0
90,100.0,2.5,0.0,75.0,75.0
100,100.0,2.5,5.0,90.0,85.0
120,100.0,5.0,0.0,95.0,100.0
140,100.0,7.5,0.0,95.0,100.0
