TimeDelta,median_ZigBee,median_BLE_2M,median_BLE_1M,median_BLE_500K,median_BLE_125K
-140,100.0,0.0,0.0,0.0,70.0
-120,100.0,0.0,0.0,0.0,100.0
-100,100.0,0.0,0.0,0.0,40.0
-90,100.0,0.0,0.0,0.0,50.0
-80,100.0,0.0,0.0,0.0,45.0
-70,100.0,0.0,0.0,0.0,75.0
-60,100.0,0.0,0.0,0.0,60.0
-50,100.0,0.0,0.0,0.0,80.0
-40,100.0,0.0,0.0,0.0,100.0
-30,85.0,0.0,0.0,0.0,35.0
-20,95.0,0.0,0.0,0.0,70.0
-10,95.0,0.0,0.0,0.0,80.0
0,90.0,0.0,0.0,0.0,100.0
10,100.0,0.0,0.0,0.0,95.0
20,100.0,0.0,0.0,0.0,80.0
30,90.0,0.0,0.0,0.0,45.0
40,100.0,0.0,0.0,0.0,55.0
50,100.0,0.0,0.0,0.0,80.0
60,100.0,0.0,0.0,0.0,75.0
70,100.0,0.0,0.0,0.0,70.0
80,100.0,0.0,0.0,0.0,80.0
90,100.0,0.0,0.0,0.0,95.0
100,100.0,0.0,0.0,0.0,30.0
120,100.0,0.0,0.0,0.0,95.0
140,100.0,0.0,0.0,0.0,90.0
